FID,START_X,START_Y,END_X,END_Y
7.200000000000000000e+01,-2.327084344053303155e+01,1.023831185273223923e+03,-1.089772200582712536e+01,1.032199484537004764e+03
7.300000000000000000e+01,-2.379458110921052878e+02,1.152755677278672238e+03,-1.110424529686403332e+02,1.105150353463329111e+03
7.400000000000000000e+01,-2.263762999607806705e+02,1.027453075769237557e+03,-1.934692842474898669e+02,1.151518882688096028e+03
7.500000000000000000e+01,-3.636966794719435825e+02,9.729007075840689822e+02,-2.158320298581696193e+02,9.281109625166336627e+02
7.600000000000000000e+01,-7.633839159758566950e+01,1.150849191135960154e+03,6.322499000148789960e+00,1.110376077601075622e+03
7.700000000000000000e+01,-1.324085087122968218e+02,1.197363624815438243e+03,4.773547480760159800e+01,1.103689452150382976e+03
7.800000000000000000e+01,-2.956564933272139797e+02,7.594423203387675585e+02,-2.608462286983323679e+02,7.899292026654205756e+02
7.900000000000000000e+01,-1.520033839887623230e+02,9.965213049956607847e+02,7.163443556922372579e+01,9.668590827369929457e+02
8.000000000000000000e+01,-4.213902755242943243e+01,1.121376263376457018e+03,-2.226133128452297427e+01,1.210376891841995757e+03
8.100000000000000000e+01,-8.588384637966631985e+00,3.230539624566619068e+02,-1.454684813199168900e+02,5.999265013090911225e+02
8.200000000000000000e+01,2.842951660716547622e+02,8.583056977315833365e+02,2.934068279199110520e+02,1.048317079769773272e+03
8.300000000000000000e+01,2.187870986981930912e+02,9.815129434803378672e+02,2.771993709494113318e+02,1.232280228043596708e+03
8.400000000000000000e+01,-1.311312760740686088e+02,5.709261968111111401e+02,-3.010051985416165365e+01,5.447602453632140396e+02
8.500000000000000000e+01,2.365273505960543901e+02,1.057672903436606475e+03,3.013557037048547613e+02,1.061894671721424402e+03
8.600000000000000000e+01,-3.387149710095382034e+02,7.294207515476335857e+02,-2.777166384829952790e+02,7.431863658736987190e+02
8.700000000000000000e+01,1.509954047950833171e+02,4.893997713702560759e+02,2.611773404996951626e+02,5.861769019246631842e+02
8.800000000000000000e+01,2.281431387696509034e+02,4.876530156868565768e+02,1.935328482164042896e+02,7.038382978219827919e+02
8.900000000000000000e+01,2.767835908959352764e+02,9.298413025402293215e+02,4.118057952985719794e+01,1.276481116813780091e+03
