FID,START_X,START_Y,END_X,END_Y
239,2481.01714181,-328.060865609,2423.44396818,-404.493871133
240,2423.44396818,-404.493871133,2375.93604331,-467.56445166
241,2375.93604331,-467.56445166,2361.0545154,-487.320873501
242,2361.0545154,-487.320873501,2330.77764698,-527.515844609
243,2330.77764698,-527.515844609,2197.49179276,-704.463505987
244,2197.49179276,-704.463505987,2154.15781394,-761.992838364
245,2154.15781394,-761.992838364,2153.05144466,-763.461632319
246,2397.61898065,-285.906010471,2481.01714181,-328.060865609
247,2481.01714181,-328.060865609,2501.66492214,-338.497596783
248,2630.92839459,-330.390865363,2690.03094314,-356.418200726
249,2690.03094314,-356.418200726,2850.3817083,-427.032806061
250,2850.3817083,-427.032806061,2867.75431273,-434.683281593
251,2630.92839459,-330.390865363,2622.51179408,-326.684397715
252,2622.51179408,-326.684397715,2552.30868319,-295.768642719
253,3485.79038513,-281.824014032,3563.75795036,-349.215672175
254,3485.79038513,-281.824014032,3472.42744378,-270.273688297
255,3472.42744378,-270.273688297,3430.76527515,-234.262782767
256,2881.36301458,371.386119234,2861.74633207,379.436803234
257,2861.74633207,379.436803234,2844.44231975,386.53836768
258,2722.60186733,-742.324844245,2763.62193298,-763.46163232
259,2914.91506152,-100.232145081,2903.7200326,-93.4129706775
260,2903.7200326,-93.4129706775,2886.52710851,-82.9403270829
261,2886.52710851,-82.9403270829,2859.98974787,-66.7757515564
262,2859.98974787,-66.7757515564,2770.17374218,-12.0665577078
263,2720.64609379,206.687877122,2517.03030634,344.149799074
264,2517.03030634,344.149799074,2458.52091124,383.649751433
265,2458.52091124,383.649751433,2454.24214179,386.53836768
266,1939.17637905,-527.12153899,1999.40120251,-568.467846987
267,2246.08581691,-737.824890445,2197.49179276,-704.463505987
268,2197.49179276,-704.463505987,2148.18246479,-670.611042104
269,2148.18246479,-670.611042104,2127.11956941,-656.150676601
270,2127.11956941,-656.150676601,2117.245558,-649.371845322
271,2117.245558,-649.371845322,2064.09207336,-612.880242352
272,2064.09207336,-612.880242352,2063.82983565,-612.700207606
273,2063.82983565,-612.700207606,1999.40120251,-568.467846987
274,1964.51854987,-298.708308748,1919.63467166,-271.050491505
275,1919.63467166,-271.050491505,1900.50412308,-259.262089134
276,1900.50412308,-259.262089134,1895.89791836,-256.423707661
277,1895.89791836,-256.423707661,1889.27412515,-252.342071464
278,1889.27412515,-252.342071464,1864.93279214,-237.342740599
279,1864.93279214,-237.342740599,1863.75795036,-236.618793371
280,3552.04318854,-749.913596676,3563.75795036,-754.335846197
281,3552.04318854,-749.913596676,3473.66953432,-720.328031023
282,3473.66953432,-720.328031023,3380.29268507,-685.078852824
283,3380.29268507,-685.078852824,3370.63951924,-681.43484293
284,3554.97521325,97.4605028454,3563.75795036,91.6190328343
285,1930.25351266,-406.866771069,2048.70829953,-476.608724598
286,2200.8290492,-566.171996241,2197.00750446,-563.922007
287,2197.00750446,-563.922007,2192.1365416,-561.054157808
288,2192.1365416,-561.054157808,2123.28032241,-520.514071874
289,2123.28032241,-520.514071874,2107.51365427,-511.231220031
290,2107.51365427,-511.231220031,2048.70829953,-476.608724598
291,3388.7649258,-670.795887906,3473.66953432,-720.328031023
292,3388.7649258,-670.795887906,3377.0017701,-663.933429884
293,3377.0017701,-663.933429884,3358.68324723,-653.246663735
294,3358.68324723,-653.246663735,3348.21238295,-647.138110176
295,3348.21238295,-647.138110176,3292.80295066,-614.813034095
296,3024.96269974,-597.27950476,3195.78365508,-699.275461911
297,1906.03326861,-8.05459685934,1863.75795036,12.3041625589
298,2647.84781842,189.326676933,2703.91915073,160.752405156
299,2647.84781842,189.326676933,2647.74059811,189.381317019
300,2647.74059811,189.381317019,2411.03124429,310.009758158
301,2411.03124429,310.009758158,2380.223497,325.709562454
302,2988.78440482,-388.319348169,2772.42870319,-306.820879611
303,3073.2563865,146.849489089,3102.82763929,116.943202226
304,3102.82763929,116.943202226,3106.50514348,113.224032938
305,3106.50514348,113.224032938,3112.12203689,107.54350169
306,3112.12203689,107.54350169,3114.40394841,105.235736745
307,3114.40394841,105.235736745,3146.46447937,72.8119688864
308,3146.46447937,72.8119688864,3152.46124109,66.747265528
309,3152.46124109,66.747265528,3160.42475024,58.6935320314
310,3160.42475024,58.6935320314,3204.04303069,14.581068596
311,3204.04303069,14.581068596,3209.36406012,9.19975337856
312,3209.36406012,9.19975337856,3211.54984307,6.98920611583
313,3211.54984307,6.98920611583,3216.82971088,1.64951887218
314,3216.82971088,1.64951887218,3230.57953835,-12.2560903115
315,3470.54498389,382.714502408,3478.87582379,373.849781071
316,3478.87582379,373.849781071,3563.75795036,283.527987882
317,2584.19840097,131.569981648,2633.90302024,84.635898575
318,2633.90302024,84.635898575,2634.16953106,84.3842430756
319,2634.16953106,84.3842430756,2680.71356589,40.4345734249
320,2680.71356589,40.4345734249,2726.21959242,-2.53494652826
321,2726.21959242,-2.53494652826,2762.8955263,-37.1665633301
322,2552.39517381,161.60049647,2563.6595704,150.96397751
323,2563.6595704,150.96397751,2584.19840097,131.569981648
324,3508.98384514,16.8431199039,3563.75795036,-37.7717442416
325,2012.83484228,118.213873109,2051.0677651,75.2773708789
326,2051.0677651,75.2773708789,2083.4824659,38.8748734844
327,1987.74549825,146.38981668,1990.86938773,142.881612818
328,1990.86938773,142.881612818,1995.36235391,137.835902518
329,1995.36235391,137.835902518,2012.83484228,118.213873109
330,1947.62454163,65.5744724651,1863.75795036,140.580067268
331,1947.62454163,65.5744724651,1953.69735324,60.1432889646
332,1953.69735324,60.1432889646,1987.42680825,29.9775483872
333,1987.42680825,29.9775483872,1987.68799535,29.7439572344
334,1987.68799535,29.7439572344,2014.59593516,5.67899882471
335,2443.73914904,187.465543644,2515.10431945,104.601744659
336,2735.37886536,-580.004247721,2772.99503739,-625.788195079
337,2772.99503739,-625.788195079,2774.30381777,-627.381157062
338,2735.37886536,-580.004247721,2694.18489353,-529.865636167
339,2376.85822326,-475.125430027,2484.59594301,-640.951899787
340,2484.59594301,-640.951899787,2550.85161213,-742.930517287
341,3251.36537434,-715.224959984,3295.20523303,-763.46163232
342,3005.32168092,-630.330054949,3106.81287532,-737.331250695
343,2524.66916518,-199.469006511,2540.39348803,-217.745028898
344,2540.39348803,-217.745028898,2553.04038683,-232.444231394
345,2553.04038683,-232.444231394,2564.32523574,-245.560354323
346,2564.32523574,-245.560354323,2584.30024291,-268.776850301
347,2524.66916518,-199.469006511,2469.002584,-134.769006785
348,2918.9382054,253.314468758,2957.68102659,202.528197081
