#FID, PT_X, PT_Y
749,-51823.6006,6711290.903
750,-51808.1859,6711300.031
750,-51808.5987,6711298.714
751,-51805.1062,6711296.221
751,-51805.9583,6711293.77
752,-51807.7414,6711294.808
752,-51808.9321,6711291.76
752,-51809.3626,6711290.044
753,-51808.9077,6711290.32
753,-51809.6692,6711286.17
754,-51808.465,6711290.83
754,-51809.2078,6711286.704
755,-51807.7742,6711288.545
755,-51809.577,6711286.672
756,-51807.7815,6711291.616
756,-51808.5855,6711287.702
757,-51807.4024,6711292.053
757,-51808.0178,6711288.292
758,-51806.0904,6711289.141
758,-51808.0316,6711287.198
759,-51806.5983,6711288.633
759,-51807.9161,6711285.761
760,-51806.2412,6711288.99
760,-51807.0112,6711286.998
761,-51810.712,6711295.901
761,-51813.1178,6711291.162
762,-51813.5628,6711291.411
762,-51813.1178,6711291.162
762,-51812.223,6711290.3
763,-51812.4322,6711292.513
763,-51811.3581,6711291.82
765,-51803.1156,6711288.735
765,-51804.3435,6711287.272
765,-51805.4978,6711285.761
766,-51811.5538,6711294.243
766,-51810.3284,6711293.712
767,-51806.2665,6711302.36
767,-51807.666,6711298.573
768,-51822.193,6711299.047
768,-51824.098,6711296.401
768,-51825.3945,6711294.84
768,-51825.6855,6711294.39
769,-51822.4047,6711299.497
769,-51824.0451,6711297.327
769,-51825.4209,6711295.607
770,-51825.553,6711298.241
770,-51824.7322,6711297.56
772,-51798.5752,6711305.195
772,-51801.6035,6711298.405
773,-51810.2203,6711295.685
773,-51812.75,6711290.808
774,-51807.4501,6711306.14
774,-51810.0089,6711301.087
774,-51811.539,6711297.838
774,-51812.9608,6711295.346
774,-51813.7546,6711293.909
774,-51815.1965,6711291.546
775,-51815.7595,6711306.114
775,-51816.9516,6711303.168
776,-51815.4237,6711305.944
776,-51816.5217,6711302.936
777,-51813.6223,6711305.306
777,-51815.0664,6711302.936
778,-51813.9561,6711305.491
778,-51815.3641,6711303.168
779,-51811.8473,6711304.144
779,-51813.1151,6711301.713
780,-51811.6184,6711303.994
780,-51812.7976,6711301.727
781,-51800.8112,6711302.778
781,-51802.0805,6711301.11
782,-51799.1417,6711305.401
782,-51799.4812,6711303.163
783,-51799.2579,6711304.635
